x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,Costo,Times
      2.0009281,      1.3282219,      1.5218523,      1.8974096,      2.1677784,      2.7581805,      1.5117772,      1.7459583,      1.9000758,     49.3027696,     34.5168869,     27.7190197,     15.1569118,      0.0055094,      1.2378998,     43.6512744,     42.6563750,      0.0529222,1200000.0000000
      1.4014671,      1.0172001,      1.3010664,      2.6236591,      2.2857548,      1.4036087,      1.0091464,      2.3350153,      1.5095064,     44.6870727,     14.0642192,     49.7239970,      1.0501817,      0.0351753,      4.9141278,     14.7531942,      1.2282939,      0.0534714,1200000.0000000
      1.9874664,      1.1870844,      1.2899273,      2.6902046,      2.0569969,      1.3009605,      1.4302886,      1.8128353,      1.6645213,     45.7177890,      9.5228290,     19.4966865,      0.1743688,      0.0330199,      0.8006534,     31.2110379,     25.5312114,      0.0534978,1200000.0000000
      2.2402069,      1.4928261,      1.4866379,      2.7474279,      2.0898263,      1.4028174,      1.0805855,      1.7790074,      1.1444228,     47.2634803,      0.2535082,     49.2478368,     41.1212236,      0.1501315,      3.8114185,     15.3559084,      8.8492815,      0.0543328,1200000.0000000
      1.5450472,      1.4012421,      1.0477791,      2.7201972,      2.3585908,      1.2379731,      1.2484091,      1.7374614,      1.4045800,     49.0034251,      6.9423183,     24.6333036,      1.6639959,      0.0768367,      1.2949330,     34.6230876,      2.3842008,      0.0540884,1200000.0000000
      1.3671470,      1.4156919,      1.9005789,      1.4593560,      1.7069442,      1.2492087,      1.4481832,      2.1241759,      2.1617494,     44.5575573,      4.2838476,     44.7477930,     47.8283341,      0.0559193,      2.7730825,     26.4993119,     46.2442777,      0.0537122,1200000.0000000
      2.8446606,      1.1003772,      1.2307928,      2.8439051,      1.9663778,      1.2560677,      1.0025898,      2.4767492,      1.8019047,     32.5513970,      2.2939115,     35.4750151,      2.5424652,      0.0300566,      2.7005015,      7.8335225,      2.9113333,      0.0538205,1200000.0000000
      2.4894999,      1.3088009,      1.2318200,      2.7419656,      2.0638518,      1.3683945,      1.6231390,      1.6993423,      2.0154471,     36.5455588,      9.0184071,     13.5352781,      3.6099501,      0.0776149,      0.3610411,     37.7426873,     21.1936330,      0.0543124,1200000.0000000
      1.1169849,      1.1541451,      1.8364074,      1.5520307,      2.0987980,      1.3424257,      1.1815692,      1.8348745,      1.1563886,     45.3979093,      1.3191637,     30.6576737,      5.3788766,      0.0699615,      1.3791891,     34.1145710,      8.5056734,      0.0541790,1200000.0000000
      2.4630926,      1.4886008,      1.2871911,      2.7571156,      2.3825342,      1.3917326,      1.2592841,      1.0589188,      1.0545786,     30.9403084,      8.8156466,     10.7337350,     26.2944976,      0.0122942,      0.2035006,     22.4027581,      6.0629926,      0.0524405,1200000.0000000
