x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,Costo,Times
      1.9728350,      2.9585582,      1.8088255,      2.4318106,      2.0983392,      1.1621497,      2.5132522,      1.5277632,      1.4910567,      0.2031024,      0.8032504,     42.7668630,     25.0685177,     40.3347971,     49.2662198,     40.4601287,      8.7069820,      0.0451877,1200000.0000000
      1.6766541,      2.5710904,      2.2458005,      2.1991432,      1.9626501,      2.7166018,      2.7588196,      1.8925663,      1.3959625,      0.3387219,      0.4338527,     43.3587619,     24.2272102,     41.0935376,     42.8676921,     41.2159486,      4.5333382,      0.0400061,1200000.0000000
      1.6901821,      1.0757838,      2.1335849,      2.5076268,      2.3213795,      2.0586396,      2.8119698,      1.8047426,      1.0855675,      1.5002449,      0.4642885,     48.9098222,      1.9950806,     41.0613642,      6.9385634,     41.0562302,     12.5905500,      0.0421991,1200000.0000000
      1.7523853,      2.9990682,      1.5580561,      2.0992376,      2.2175570,      1.2363286,      2.6580811,      2.0629703,      1.4095911,      0.2775326,      0.5356034,     46.2197737,     24.9368139,     35.6541511,     43.1857196,     35.7648289,      7.6484938,      0.0432171,1200000.0000000
      2.0201596,      2.5490924,      1.5096441,      2.0903506,      2.2496506,      2.9557715,      2.5992537,      2.1746867,      1.1289174,      0.6540142,      0.2506071,     47.6428490,     12.2365458,     19.5674254,     33.3617952,     19.7135263,      3.1073659,      0.0425772,1200000.0000000
      2.3148804,      2.6006344,      2.0837052,      2.0604925,      2.1647805,      2.6216458,      2.9450771,      1.6758338,      1.1217211,      0.4441298,      0.4085590,     42.8996751,     13.1172293,     19.5327479,     25.6019709,     19.6307999,      1.6213843,      0.0393556,1200000.0000000
      1.9579690,      2.6371045,      2.1399208,      2.4630146,      2.1484766,      1.0180671,      2.5146386,      1.7321968,      1.2986684,      0.3795518,      0.6630841,     44.3521908,     12.0970918,     18.3264894,     27.6906280,     18.4117518,      4.7925756,      0.0414588,1200000.0000000
      2.0780608,      2.6292884,      1.9898755,      2.4400578,      2.2774432,      2.8837623,      2.2657572,      1.6547145,      1.4736810,      0.4172935,      0.4612239,     46.5900778,      7.1537554,     11.5372114,     28.8841897,     11.6785024,      2.8972962,      0.0407429,1200000.0000000
      2.4076301,      2.5006743,      1.6729121,      1.6234166,      1.8044707,      2.8125932,      1.3319313,      1.7143245,      1.4856967,      0.2974575,      0.4562875,     43.5289843,     37.4151570,     32.1887784,     44.4870076,     32.3312419,      6.1091629,      0.0416642,1200000.0000000
      2.0733397,      1.2928684,      2.2034267,      2.3729711,      1.8595265,      1.0412262,      1.7230433,      1.7211931,      1.1927470,      0.3852552,      0.3519744,     47.3505919,     23.4870763,      9.8256266,      3.7973647,      9.8467820,      0.5734607,      0.0425426,1200000.0000000
