x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,Costo,Times
      1.6087701,      1.9512194,      1.0816189,      1.3150503,      2.0110768,      2.1386340,      2.0744480,      1.2205815,      2.4771826,      0.3503812,      0.2418301,      5.8793579,     47.8464694,     21.4368138,      7.1082791,     21.3062576,     45.2379718,      0.0076285,1200000.0000000
      1.7854895,      1.9760422,      1.1364943,      1.4846070,      1.9215702,      2.4719800,      1.9005037,      1.1997804,      1.5456673,      0.2919665,      0.2683822,      5.7020060,     45.0932841,     38.0442314,      5.5808905,     37.9296262,     48.5148323,      0.0078346,1200000.0000000
      2.0074952,      2.1444877,      1.2688563,      1.1675076,      2.2319423,      1.9556769,      1.7408706,      1.4743755,      2.0873459,      0.2917021,      0.2184707,      7.3466986,     49.5102776,     11.7905511,      7.4247396,     11.6448063,     38.8737084,      0.0076969,1200000.0000000
      1.5033376,      1.5915874,      2.8705926,      1.4016983,      2.0004672,      2.4886322,      1.9691825,      1.1657325,      2.1990674,      0.2766256,      0.7414887,      5.6850976,     48.0132037,     25.9491096,      7.4127595,     25.8165134,     47.8076769,      0.0076573,1200000.0000000
      1.5214307,      1.9572088,      1.1198915,      1.1733320,      1.5861533,      1.7785487,      2.4858983,      1.4200093,      1.7258172,      0.4259702,      0.2267421,      3.5064473,     45.9654928,      8.1284784,      6.0300362,      8.0121748,     30.3144585,      0.0077949,1200000.0000000
      1.5659918,      1.8840035,      1.1201058,      1.2000921,      2.1642338,      1.9428434,      2.3570393,      1.2365848,      2.0820384,      0.3281805,      0.4715157,      5.6828225,     44.0379690,     40.1001484,      6.0187307,     39.9816238,     49.3039745,      0.0078031,1200000.0000000
      2.3698437,      1.5108257,      1.4110587,      1.4867024,      2.0878383,      2.4546406,      1.2665368,      1.3600087,      1.7023376,      0.4083798,      0.2812756,      4.4042142,     46.5469106,     14.9787589,      8.2359868,     14.8420185,     42.3857217,      0.0076108,1200000.0000000
      2.4632072,      2.2250449,      2.7318545,      1.1978991,      1.5343826,      1.5872094,      1.4365235,      1.4751362,      1.5314071,      0.3217371,      0.6109630,      7.0088790,     46.3656996,     24.3345358,      7.4821696,     24.2004860,     47.0493546,      0.0076662,1200000.0000000
      2.3185419,      1.9894152,      1.1696038,      1.4662560,      1.8922427,      2.0612860,      2.4513193,      1.3208339,      2.0322282,      0.2888468,      0.4174952,      6.5806305,     48.3032082,     20.9567056,      8.0063086,     20.8156865,     46.9754630,      0.0076323,1200000.0000000
      2.3597211,      1.9376771,      1.3365176,      1.0815049,      2.1011922,      2.4943232,      2.2287543,      1.2978978,      2.1337112,      0.2965462,      0.2956304,      3.3125988,     47.1966326,     13.4365735,      7.3052860,     13.3162505,     38.1097469,      0.0077767,1200000.0000000
      1.7447705,      2.3187588,      2.6295092,      1.0904695,      2.2630533,      2.3596709,      1.8531180,      1.4437062,      2.2154344,      0.2969977,      0.6680348,      4.5210014,     47.1679807,     27.6629195,      7.1683905,     27.5407816,     47.1187595,      0.0076805,1200000.0000000
      1.6285541,      2.0744546,      2.7387902,      1.4018593,      1.7616415,      1.9354172,      1.9958002,      1.4187958,      2.7007752,      0.2996161,      1.7153468,      4.5423031,     47.2572062,     47.7506592,      5.7442553,     47.6488169,     47.3246924,      0.0080378,1200000.0000000
      1.6426999,      2.3155389,      2.8797891,      1.0108979,      1.9598475,      1.8404693,      1.9143054,      1.2840339,      2.0183998,      0.2435923,      0.5733586,      5.1296538,     46.9963947,     29.9729710,      6.3076342,     29.8585479,     45.4368281,      0.0077313,1200000.0000000
      1.5439708,      1.9392488,      1.3108550,      1.0830301,      1.7239796,      2.3366353,      2.1939549,      1.3252714,      2.4526081,      0.3145975,      0.2692556,      5.2894897,     45.2271515,     28.7285608,      6.5455034,     28.6088688,     47.0477897,      0.0077210,1200000.0000000
      1.5725033,      1.5919527,      1.0684183,      1.3101898,      2.0447078,      2.1566789,      2.0828011,      1.4619330,      2.4922601,      0.3109530,      0.3806608,      7.0164039,     48.0979027,      9.4408687,      8.9632658,      9.2825667,     39.1209238,      0.0076353,1200000.0000000
      1.5507574,      1.9347803,      1.4662068,      1.3632977,      2.1446987,      1.8229717,      1.5726529,      1.3489357,      1.5693723,      0.2754251,      0.2497105,      7.1512223,     45.5353896,     28.0671324,      7.0919860,     27.9322359,     48.9175918,      0.0075910,1200000.0000000
