x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,Costo,Times
      1.3677237,      2.1390887,      2.9272175,      2.9749392,      1.8104034,      1.3431262,      1.3304010,      1.7852230,      2.8807204,     46.6859487,     17.9154312,     19.8832263,     45.6043722,     20.0722576,      0.3771364,      4.7302148,     48.5258594,      0.0663537,1200000.0000000
      1.1304652,      2.3903163,      2.6649328,      2.9695793,      1.5471066,      1.3873110,      2.1334605,      1.6698036,      1.7333750,     42.2829434,     41.4602757,     41.4630715,      7.3836792,     47.6256206,      2.5436639,      5.1412114,     49.2528023,      0.0663204,1200000.0000000
      1.8736678,      1.4811158,      1.3237387,      2.5267978,      1.8560944,      1.9962056,      1.3637120,      2.3890444,      1.3673701,     23.7384911,     25.9145169,     49.0090606,      9.7626502,      0.7526470,      2.3210795,     48.1130598,      5.7560746,      0.0572721,1200000.0000000
      2.4360610,      1.2883992,      2.9828988,      2.5947152,      2.1585087,      1.5047882,      1.2396422,      1.7196054,      1.9668078,     49.8790469,     13.8737185,     44.1760633,     11.6504371,      0.0214082,      0.8486886,     15.6011591,      3.6094834,      0.0498251,1200000.0000000
      1.3147205,      1.0867869,      2.6153096,      2.6010426,      1.9407313,      1.8565398,      2.6426253,      2.1193517,      2.0842695,     35.4628892,     16.6721235,     24.4176784,     42.7153640,      0.1186638,      0.6374292,     47.9356891,      2.2245800,      0.0534086,1200000.0000000
      1.0116566,      1.4209698,      1.1759130,      2.5521898,      2.2393312,      1.0994184,      2.3055231,      1.9949201,      1.1417282,     39.6842894,     20.5613043,     42.8243836,      6.8886443,      0.1780455,      1.1237923,     32.6022623,     16.1949239,      0.0545993,1200000.0000000
      1.1952252,      1.3417129,      1.4366535,      2.8108350,      2.2091879,      1.7963969,      2.1316177,      2.0391786,      1.3453994,     27.4291200,     35.5180716,     37.9173006,     41.8803847,      0.4540238,      0.4014201,     39.6951187,      1.4145603,      0.0572170,1200000.0000000
      1.3793115,      1.8439074,      1.7903972,      2.9559643,      1.8765326,      1.2234595,      2.2509387,      2.4065432,      2.6674581,     43.6670649,     16.4972540,     24.6665105,     16.3035037,     27.3932885,     26.8035005,      5.2738490,     37.7798673,      0.0663096,1200000.0000000
      1.2840790,      1.3121810,      1.2661911,      2.6327822,      1.5087410,      1.9294416,      1.0820978,      2.4241657,      1.0971210,     41.4434125,     14.7138107,     49.5552554,      9.0555402,      0.2036443,      1.3957886,     31.0136287,      0.2248978,      0.0544773,1200000.0000000
      1.3838341,      1.3659350,      1.2507781,      2.6707283,      2.0223683,      1.8391281,      1.1519372,      1.7448740,      1.0926311,     15.5750162,     15.9721920,     48.8747143,      9.0515850,      0.5545671,      2.5845433,     30.5468554,      4.4078844,      0.0561093,1200000.0000000
      1.0427282,      1.3357532,      1.0917924,      2.9322838,      1.9817096,      1.4599792,      1.3686413,      2.1079118,      1.4724248,     38.5634588,      2.2429970,     47.9321521,      9.2735414,      0.2915118,      0.8546772,     31.7114532,      1.7600837,      0.0558110,1200000.0000000
      1.5999369,      1.4966333,      1.0097482,      2.7249223,      1.9700541,      2.3370868,      2.4325669,      1.7694768,      2.1269933,     21.6374817,     17.3500308,     49.2860121,     45.8237799,      0.2647515,      2.9877083,     30.6232076,     22.6821980,      0.0545070,1200000.0000000
      1.1499674,      2.4712860,      1.1815498,      2.7286243,      1.9515664,      1.1844066,      2.4342032,      1.7758976,      2.2998924,     20.8709859,     23.3524589,     42.2066560,      7.7697046,     23.4386218,     49.9999953,      2.4405880,     45.1581818,      0.0662993,1200000.0000000
      2.2356078,      1.1626283,      1.0309680,      2.8110973,      1.5856604,      1.5064778,      2.9954035,      1.5410782,      2.0337439,     28.7933151,     11.5009937,     47.1396622,      5.9780952,      0.1731477,      2.7514093,     35.3326138,      0.2428615,      0.0537436,1200000.0000000
      2.1541359,      1.1695335,      1.5533731,      2.5373066,      2.2370831,      2.4101572,      1.4959901,      1.7812662,      1.6966438,     41.1227172,     28.5706579,     30.3978691,     11.9543715,      0.0159193,      0.3453237,     12.0038145,      6.9303839,      0.0496544,1200000.0000000
      1.2424908,      1.7841656,      1.5191003,      2.7874303,      1.8135170,      1.1847832,      2.3705939,      2.1995899,      1.6922834,     29.6516793,      8.6844466,     24.5607323,     47.3393473,     18.4422651,      1.0636285,      3.5083121,     48.8556839,      0.0662947,1200000.0000000
      1.4585983,      1.3203048,      1.0908860,      2.6336071,      2.2467644,      1.8786439,      2.5986465,      2.0539664,      1.8264078,     35.6587303,     17.5932657,     49.4408119,     12.6173002,      0.0664083,      3.7623120,     43.5697874,      1.1128767,      0.0528099,1200000.0000000
