x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,Costo,Times
      2.3553404,      1.6674130,      1.6056436,      2.8360784,      1.9003837,      1.3827472,      2.4491620,      1.8450524,      1.4328478,      2.4397380,      0.9473442,     45.9047848,     27.1054713,     43.2823835,     15.3609409,     43.3508352,     19.6694287,      0.0369766,1200000.0000000
      2.1319182,      1.8623537,      2.8732376,      2.2012845,      1.9844711,      1.3439753,      2.5902876,      1.9078880,      2.1769945,      0.8174553,      1.4971042,     26.6380239,     45.5267280,     13.2770363,     42.1507957,     13.3457828,     37.4299027,      0.0367004,1200000.0000000
      2.4657653,      1.7493264,      2.9164414,      1.9428492,      1.8431505,      1.5762768,      1.6869295,      1.8458633,      1.0238762,      1.8142980,      1.0915698,     30.5322655,     18.1609273,     19.9357766,     13.6922335,     20.0153305,     28.7939647,      0.0384025,1200000.0000000
      1.7325009,      1.6666312,      2.6540629,      2.3554306,      1.7850558,      1.3662586,      2.7659643,      1.7201952,      2.8006141,      2.4164780,      1.9086125,     34.5500098,     47.9151360,     25.2546579,      4.6165010,     25.3129401,     16.6971445,      0.0367427,1200000.0000000
      2.0903122,      1.4908140,      1.1273592,      2.1530966,      1.8108426,      1.0602910,      1.9914209,      1.7265273,      1.2237080,      4.5733261,      1.2296909,     44.6361060,     30.5455867,     22.1882767,      7.8696199,     21.9684617,     45.8375800,      0.0375427,1200000.0000000
      1.7940328,      1.6737096,      2.0107757,      2.7686463,      1.8951525,      1.0103301,      2.7693064,      1.8046249,      1.2080611,      1.4555744,      1.7003766,     45.6027030,     44.2825374,     47.3927122,     16.6165675,     47.4842580,     18.7878980,      0.0365322,1200000.0000000
      1.9008849,      1.7682225,      2.1401537,      2.5829942,      1.8066520,      1.2011318,      2.4647396,      1.8002059,      1.1693240,      5.5308603,      7.1985961,     32.8412428,     14.8181101,     39.1011710,     20.2375847,     39.4084023,     40.3014398,      0.0361266,1200000.0000000
      1.3466366,      2.2109656,      2.2275752,      2.4598487,      2.2139603,      2.0092488,      2.9046688,      2.2075798,      2.4423607,     18.2137669,      9.0421034,     10.4729090,     44.8278372,     30.9076837,      1.4829056,     28.5131037,     46.1623836,      0.0367402,1200000.0000000
      2.3979223,      1.9257699,      2.3578452,      2.4983516,      2.0885967,      1.2831738,      2.7411122,      2.0597684,      1.0065946,      6.0687509,      0.6756428,     41.1584286,     44.9437662,      6.9480287,     27.6781749,      6.7209466,     31.7956179,      0.0367860,1200000.0000000
      1.7471340,      1.7288751,      2.8463580,      2.2796409,      1.8930540,      1.0915190,      2.8733835,      1.8410548,      1.2922068,      2.1415886,      2.7148465,     44.1253620,     35.4194951,     46.7208473,     23.0561923,     46.7585473,     42.7236327,      0.0360717,1200000.0000000
      2.6000901,      1.8323131,      1.4428884,      2.9275441,      2.1081641,      1.1231430,      2.2810463,      2.0361068,      1.6323810,      6.0257871,      1.8451953,     47.4947825,     48.9476063,     46.8736289,     40.3473411,     46.8399203,     27.1403221,      0.0366798,1200000.0000000
      2.1453464,      1.8077115,      2.0224725,      2.4268410,      1.8759174,      1.3673740,      2.0218073,      1.8556026,      1.0815748,      1.3661152,      5.3387361,     49.7143904,     41.7758266,     25.9747189,     37.8134488,     26.3531037,     30.8089279,      0.0368312,1200000.0000000
      2.6505318,      1.7585133,      1.3810711,      2.8608744,      1.8347571,      1.4369431,      2.5920868,      1.7991268,      1.4172267,      9.7205879,      2.5955321,     36.1655192,     45.1087022,     47.3731171,     15.5472312,     47.4482331,     38.7037381,      0.0370376,1200000.0000000
      2.8836141,      1.6696054,      2.6747656,      2.7124914,      1.9660456,      1.3989114,      2.9607311,      1.8949229,      1.3271470,      4.3553885,      0.8268996,     33.3982921,     26.6533423,     25.0259318,     20.9318025,     25.0084828,     35.5960340,      0.0366193,1200000.0000000
      2.1610926,      1.8067861,      1.8631653,      1.9658980,      1.8231477,      1.6309334,      2.0509652,      1.8148919,      1.1753487,      8.2193390,      4.5203600,     27.0731074,     36.6737650,     21.2670145,     43.8472555,     22.7402961,      8.4298686,      0.0369892,1200000.0000000
      1.3314802,      1.6253892,      1.5299816,      2.0454111,      1.8075202,      1.1618865,      2.8363641,      1.7759782,      1.2966047,      1.2232554,      2.8431748,     42.2193836,     25.7161874,     30.9063645,     10.5044871,     30.7935979,     48.6574616,      0.0376489,1200000.0000000
      2.0652012,      1.7396244,      2.8848339,      2.9756885,      1.7584648,      1.2636024,      2.3345525,      1.7507838,      1.2310919,      8.1234622,      8.4918283,     22.5639764,     35.1662650,     46.3079741,     16.9884959,     46.9070426,     40.6572617,      0.0373592,1200000.0000000
      2.1825372,      1.7822383,      1.9833648,      2.5422454,      1.9026543,      1.3682860,      2.7724372,      1.8407322,      1.1951412,      2.1921927,      1.8228327,     36.3923427,     47.7706336,     14.4103063,     25.0015450,     14.5490810,     28.9384316,      0.0363712,1200000.0000000
      2.9157932,      1.7992901,      2.8421471,      2.7662447,      2.1668939,      1.8607026,      2.6423933,      2.0994801,      1.6959137,      4.5408044,      0.5447335,     47.6316732,     40.4660829,     49.9655398,     34.0913102,     49.8677245,     19.0186161,      0.0373812,1200000.0000000
      1.8362946,      1.8199947,      2.4354048,      1.9936126,      1.8463843,      1.2334345,      2.0786572,      1.8312488,      1.5197678,      5.5286055,      9.9978219,     34.3777166,     47.9218198,     21.9653884,     29.5517945,     22.5361907,      7.1958217,      0.0367994,1200000.0000000
      2.2831395,      1.6782859,      2.3191943,      2.6656039,      2.0557255,      1.0941055,      2.6294980,      1.9409731,      1.0251279,      3.3591509,      1.3537631,     43.2523715,     39.3647833,     31.2422233,     41.6262424,     31.2116443,     41.9706707,      0.0368376,1200000.0000000
      2.8979430,      1.7400419,      1.7372014,      2.4339978,      2.0549561,      1.0301558,      2.8958435,      1.9462506,      1.0822629,      3.2525133,      1.7225755,     39.8022727,     35.8997194,     16.4901580,     37.7990383,     16.4784606,     35.6555039,      0.0373091,1200000.0000000
      2.2435966,      1.8193147,      1.5777026,      2.3622339,      1.8317440,      1.5969090,      2.2551485,      1.8229939,      1.1812708,      6.7901640,      6.1768002,     19.3679770,     45.3039036,     15.3000648,     28.4923350,     15.8025781,     37.6314709,      0.0367908,1200000.0000000
      2.6146690,      2.2294655,      1.4003522,      2.5703124,      2.2554084,      1.6967297,      2.7209794,      2.2478920,      1.9319118,     26.7780461,      2.4098653,     43.4091024,     30.4947751,     33.7677765,     19.5308014,     32.5465740,     19.5392569,      0.0375601,1200000.0000000
      1.7622090,      2.5733622,      2.0897100,      1.9951508,      1.8450051,      1.2558734,      1.2705339,      1.8357172,      1.1490535,      3.3023726,      3.7781987,     46.7454054,     21.5172554,     33.2866646,     19.0522127,     33.5944778,      5.4449240,      0.0377125,1200000.0000000
      2.3054206,      1.5625345,      1.9434109,      2.3043025,      1.8142954,      1.0791392,      2.1840522,      1.5474261,      1.6549525,      3.2508971,      0.9233416,     20.1047873,     48.5687556,     16.9420891,      5.6100142,     16.7495018,     35.7803275,      0.0393059,1200000.0000000
      2.3512357,      1.8298489,      2.6619342,      2.4986222,      2.0988814,      2.0125174,      2.8941989,      2.0898627,      1.6975962,      8.3425336,      0.9959340,     47.3294654,     15.9555435,      3.6204094,     23.2007402,      3.0391672,     31.5166084,      0.0373975,1200000.0000000
      2.6498617,      1.6574392,      2.5121902,      2.2449300,      1.8969792,      1.5679178,      1.0485184,      1.8370727,      1.1322695,      3.4664210,      0.5780881,     34.6966506,     39.9612088,      9.2174269,     14.6905564,      9.1805633,     32.3155264,      0.0369928,1200000.0000000
      2.4238047,      1.3355666,      2.4739242,      2.6607705,      1.9522591,      1.4460249,      2.2584985,      1.7324454,      1.0624270,      1.9384352,      0.4901491,     49.5162271,     48.1918384,     17.0251438,     15.1242048,     17.0366564,     25.1205538,      0.0375605,1200000.0000000
      1.8621009,      1.8055352,      2.0037133,      2.1826695,      1.8956577,      2.5603520,      2.1859989,      1.8727079,      2.2714357,      0.7224411,      0.7160350,     47.9631096,     30.9720396,     42.8670951,     35.6960262,     43.1310564,     13.3405784,      0.0365290,1200000.0000000
