x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,Costo,Times
      1.4917319,      2.6177896,      2.3864173,      2.1423928,      1.6812974,      2.9749960,      1.5239481,      2.7004895,      1.4909144,      2.5234565,      1.8640426,     29.8272059,     44.3202659,      6.0192569,     26.8062284,      6.2666520,      2.1694110,      0.0440583,1200000.0000000
      1.2352735,      2.7002594,      2.1554253,      1.4560526,      1.7401008,      2.0960631,      1.4089514,      1.7716408,      1.6999265,      7.9754802,      0.0351579,     37.5881080,     11.9018278,     18.0797573,     46.3543702,     18.2821327,      3.7947667,      0.0432203,1200000.0000000
      1.6182570,      1.0030477,      2.6779377,      2.0962068,      1.9938696,      2.1036832,      1.4676186,      1.8544567,      1.2114497,      1.9688346,      0.1643512,     48.3351031,     16.4278443,     17.1854447,     31.6765391,     17.2287392,     44.0017551,      0.0443793,1200000.0000000
      2.3162575,      1.2545171,      2.3417327,      2.3391305,      1.8733589,      2.2533308,      1.1870993,      2.6532980,      1.1133954,      2.1990553,      0.0873234,     44.4442678,     48.7362245,     24.6901055,     23.2115332,     24.8469774,      0.0733354,      0.0420365,1200000.0000000
      1.2596799,      1.3679466,      1.8405465,      1.8601760,      1.9771739,      2.3563455,      1.2048895,      2.5171122,      1.1252053,      0.9820119,      0.0665171,     46.1312022,     48.4416138,     28.9112442,     21.0567412,     29.0339098,      0.2392967,      0.0424302,1200000.0000000
      2.8763205,      2.6483659,      1.8000760,      2.1155745,      1.8038726,      1.8252992,      2.0690237,      2.6704396,      2.1375044,      0.3243041,      0.0854658,     30.9494684,     46.0335713,     31.1255068,     47.8759261,     31.3478224,      1.0645572,      0.0434266,1200000.0000000
      1.4879137,      2.6084259,      1.6105593,      2.2214179,      2.0373774,      2.8088479,      1.9694046,      2.5110788,      1.6652023,      7.6628405,      0.5004892,     24.7413037,     47.5870765,      2.6259576,     17.9958553,      2.9393363,      1.2364309,      0.0431512,1200000.0000000
      1.1960072,      2.9351905,      2.3729232,      1.4498798,      1.5916529,      2.0436170,      1.1895419,      1.5537563,      1.5943565,      4.6029675,      0.0229179,     38.4932816,     19.0768119,     32.2315616,     42.8355695,     32.3676763,      1.8375671,      0.0428805,1200000.0000000
      1.7322868,      1.3851774,      2.3462520,      1.6086148,      2.4103273,      2.6732091,      1.9461856,      2.5934426,      1.4416748,      1.6845948,      0.8212511,     45.8874724,     44.2328117,     12.0007763,     22.1497088,     12.2108739,      0.2231966,      0.0428951,1200000.0000000
      1.3673854,      2.7374067,      2.0834718,      1.4100090,      1.9829226,      1.6032226,      1.8374775,      2.5881274,      1.3306700,      5.5741175,      0.3962239,     29.8780486,     49.6330560,     35.6010879,     34.7271207,     35.7945120,      0.2614423,      0.0426241,1200000.0000000
      2.3295182,      1.4290627,      2.1417264,      2.2399042,      2.1134016,      2.1645500,      1.3726479,      2.7775820,      1.4235037,     10.0236563,      0.0774630,     45.1894378,     48.2915044,     32.0695010,     21.4214409,     32.1964556,      0.0025389,      0.0425207,1200000.0000000
      2.1056179,      1.0982561,      1.5553642,      1.9818940,      1.6345152,      1.9342346,      1.2052483,      2.5154293,      1.6061368,      6.4760524,      0.0405132,     44.5473685,     47.6193417,     15.9683994,     17.7008091,     16.0836020,      0.2121139,      0.0421996,1200000.0000000
      1.4497969,      1.1620146,      2.3858628,      1.8275859,      1.8799205,      2.3834307,      1.0492135,      2.8413055,      1.0037754,      0.7470759,      0.1794271,     46.3933535,     49.5434863,     13.3305794,     17.6235721,     13.4617540,      1.0400416,      0.0432294,1200000.0000000
