x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,Costo,Times
      2.7022248,      1.9711325,      2.1563441,      2.6035006,      1.9974608,      1.0294686,      1.0578502,      2.0249051,      2.1007734,      4.8694295,      3.2837318,     41.4184254,     45.0162392,      1.3125981,      0.4890812,      2.6105281,      0.4695383,      0.0032043,1200000.0000000
      2.6054451,      1.9913274,      2.7443131,      2.7400816,      1.9989603,      1.3010726,      1.1025540,      2.0200691,      2.2310024,      3.5503069,     11.3939751,     40.8575958,     34.1509443,      6.1264169,      0.9746879,      2.2340778,      1.3039927,      0.0032443,1200000.0000000
      2.6137956,      1.9940231,      2.7787967,      2.3774293,      1.9984103,      1.1433276,      1.8440029,      2.0077442,      1.8195735,      5.5924260,     21.9318716,     48.3478490,     30.2249031,      8.1150044,      0.3164645,      4.9276809,      4.3603311,      0.0032457,1200000.0000000
      2.0008921,      1.9967229,      1.6105838,      2.5538325,      1.9980803,      1.3971918,      1.0583166,      2.0241051,      1.4049055,      4.0687611,     10.7455970,     36.9337708,     48.9628236,      6.9462322,      0.8044143,      2.8576964,      6.8403362,      0.0032650,1200000.0000000
      2.9329833,      1.9647924,      1.6582764,      2.4966679,      2.0065169,      1.3341730,      1.3800286,      1.9946749,      2.2260266,     17.9412593,      5.7492151,     40.8902942,     49.0203624,      3.2493860,      0.3333961,     10.1460169,      0.0047573,      0.0033726,1200000.0000000
      2.5344646,      2.0120073,      2.8259921,      2.8547731,      1.9956842,      1.6886292,      1.1415169,      2.0588726,      2.2377424,      5.7390315,     10.2698900,     45.5450069,     36.2845055,     19.0321466,      0.1920556,      2.5527826,      0.4279457,      0.0033174,1200000.0000000
      1.9899217,      2.0366412,      2.9542790,      2.6567456,      1.9952818,      1.7733025,      1.5241816,      2.0689853,      1.7819430,      5.6888948,     23.1983372,     48.0553877,     43.0634769,     44.8102957,      0.1051323,      3.8543803,      1.9576310,      0.0032942,1200000.0000000
      2.9297709,      2.0107314,      2.8022880,      2.7375223,      1.9931379,      1.4672690,      1.1226384,      2.0257142,      2.4714105,     13.1479596,     22.5386594,     40.0915953,     35.9208202,     20.4131087,      0.1741019,      7.5779239,      0.4684488,      0.0033882,1200000.0000000
      2.7177405,      1.9957299,      2.9571165,      2.6907239,      1.9978840,      1.5992211,      1.2796649,      2.0206083,      1.2018387,      4.8403363,     16.8037781,     47.5669411,     40.0907098,     11.9634504,      0.2872176,      3.2592077,      4.0296851,      0.0033385,1200000.0000000
      1.9870203,      1.9947889,      2.1224206,      2.5853328,      1.9968175,      1.2177058,      1.2603448,      2.0292952,      2.0216608,      3.6824321,      4.4817681,     25.8618012,     42.7367503,      2.5492441,      0.5631775,      2.3717855,      1.7715808,      0.0034330,1200000.0000000
      2.7085872,      1.9962729,      2.1779582,      2.5084386,      1.9956720,      1.2462020,      1.1630376,      2.0285564,      1.6373128,      4.0506890,     23.0306478,     48.8525561,     49.6159202,      8.8431401,      0.1926017,      3.4624330,      0.0833419,      0.0034145,1200000.0000000
      2.0063437,      2.0041719,      2.1102835,      2.3612827,      1.9963142,      1.6995300,      1.6494264,      2.0126287,      1.6104803,      7.5081386,     23.3876071,     42.9088310,     25.7433117,     22.1593790,      0.3468677,      8.3841020,      3.2031661,      0.0031670,1200000.0000000
      2.9575420,      1.9963382,      2.7995663,      2.6570209,      1.9985124,      1.3746285,      1.1276575,      2.0500835,      2.2531807,      3.6933713,     11.9852914,     47.1637535,     42.3086073,      8.9553125,      0.8428221,      1.7021033,      0.1122933,      0.0032998,1200000.0000000
      2.0982718,      1.9842862,      1.6554151,      2.2272578,      1.9985811,      1.2536584,      1.2967643,      2.0053547,      2.0559904,      8.9762776,      2.5805039,     27.4420590,     49.7741729,      1.4525430,      0.3073466,     11.9291532,      3.4546236,      0.0033536,1200000.0000000
      2.6365208,      1.9919250,      1.8313956,      2.5141770,      1.9996779,      1.2988476,      1.5180233,      2.0030102,      2.0437763,     16.4624155,     14.0086111,     42.3636556,     31.1371251,      6.3229482,      0.9536821,     11.2894792,      2.5704329,      0.0033944,1200000.0000000
      2.1134242,      2.0256631,      2.1031150,      2.2707579,      1.9829937,      1.5028691,      1.0817193,      2.0376449,      2.0023193,      7.6916218,     19.2376863,     47.8582827,     44.3298930,     17.9061546,      0.0025973,      9.5414179,      2.1216545,      0.0033308,1200000.0000000
      2.0063969,      2.0011124,      2.3396368,      2.5627514,      1.9984292,      1.3843537,      1.7139018,      2.0593696,      2.9586023,      2.6633208,     27.9072458,     30.1916583,     44.5850447,     21.7053731,      0.4348065,      1.7319119,      0.6196982,      0.0033209,1200000.0000000
      2.1510910,      1.9885489,      2.3359933,      2.5155319,      1.9975286,      1.4151434,      1.5253981,      2.0030415,      1.9617814,     17.6528258,      7.2332493,     38.1988730,     38.7420585,      3.8616810,      0.4524803,     17.2110797,      7.5485694,      0.0033821,1200000.0000000
      2.0095344,      2.0182588,      2.7982224,      2.7302161,      1.9954069,      1.6856324,      1.5714438,      2.0361224,      1.6246628,      8.7448745,     36.2557677,     47.2571526,     32.9158736,     39.6741020,      0.1083150,      5.9486338,      2.1608409,      0.0032157,1200000.0000000
      2.0393413,      1.9999328,      2.5028147,      2.6681734,      1.9993763,      1.8771194,      1.7728906,      2.0207807,      2.8682803,      9.1278182,     11.5367053,     41.0897726,     36.9619979,     48.2020549,      1.5892412,      4.3059883,      0.0021782,      0.0032337,1200000.0000000
      2.5832970,      1.9964115,      2.9137732,      2.9896849,      1.9982056,      1.1017964,      1.2461913,      2.0563667,      2.3316438,      3.4602922,     26.1386208,     48.1093596,     45.9182930,     11.3536274,      0.6960960,      1.5395655,      0.1143770,      0.0031783,1200000.0000000
      2.5180600,      2.0488205,      2.9853004,      2.9189338,      1.9930270,      1.5110322,      1.8577768,      2.2003658,      2.9054924,      1.3329186,     15.8506119,     47.6294126,     35.1987202,     12.7896044,      0.0845522,      0.6212644,      0.2181713,      0.0031531,1200000.0000000
      2.3633628,      1.9304702,      2.0670483,      2.1937185,      1.9985138,      1.0385727,      1.1320391,      2.0067780,      1.8637654,      3.6321609,      2.6441651,     49.7593060,     41.1587530,      0.7749005,      0.5198702,      6.2754975,      2.7121916,      0.0032591,1200000.0000000
      2.2771659,      2.0122063,      2.5055339,      2.8214849,      1.9910820,      1.4052423,      1.2110822,      2.0287077,      2.4211327,     14.9834248,     18.8639423,     38.7861681,     45.9031587,     12.6132418,      0.1431449,      6.1272606,      0.5251214,      0.0032236,1200000.0000000
